"constant","median_log_coeff","median_log_clr","median_log_tss","mean_log_coeff","mean_log_clr","mean_log_tss","n_all3","n_coeff_only","n_clr_only","n_tss_only","robustness","replicate"
-0.6,0.755345901628267,0.209629419371389,0.304526846476662,1.13545373565651,0.506463931749529,0.660676555587889,34,218,53,0,0.111475409836066,7
-0.5,0.522286105909057,0.18162455990018,0.26087276009713,0.856439831546481,0.497555639514234,0.580451525743424,46,125,35,2,0.221153846153846,7
-0.4,0.404966666876119,0.190389105599601,0.33174688627228,0.717267473215894,0.711787704648472,0.724076735184838,91,34,44,11,0.505555555555556,7
-0.3,0.453434108378817,0.187777752135267,0.20610333896395,0.816781977528625,0.681689660193621,0.718407247139887,64,95,60,0,0.292237442922374,7
-0.2,0.445860969103645,0.2032471838817,0.274966863847248,0.751750671945132,0.547610716026471,0.569161468547395,52,81,42,0,0.297142857142857,7
-0.1,0.396829234092134,0.209793005746358,0.24399407156245,0.784998129236952,0.550576183374011,0.624840308189614,55,102,31,2,0.289473684210526,7
0,0.244998356475529,0.210185144967165,0.277077434108406,0.634268622916681,0.686008649171915,0.742552810550692,88,24,16,52,0.488888888888889,7
0.1,0.275647161801778,0.189591386807063,0.227929261924578,0.57301528961036,0.521570812830681,0.564160366896353,72,31,25,0,0.5625,7
0.2,0.224041066548121,0.17397271555607,0.263078368699662,0.703630648878221,0.637309152136151,0.607406232879137,64,82,23,0,0.378698224852071,7
0.3,0.206449231209891,0.220678976570626,0.217027543816607,0.502779830147245,0.656516696256449,0.589658990697937,75,4,20,55,0.487012987012987,7
0.4,0.189010072820745,0.183006571844537,0.295404837506026,0.629479680290365,0.616034990383301,0.693377791844744,74,29,11,46,0.4625,7
0.5,0.209429059553832,0.219709627822327,0.235054821168221,0.6309197757205,0.5911137312947,0.525978535266668,60,38,38,0,0.441176470588235,7
0.6,0.253692893852001,0.17297537539,0.258243014878729,0.862094414570945,0.542145997139597,0.549580187796851,51,84,28,18,0.281767955801105,7
0.7,0.211389963542823,0.233561234692307,0.220813752014914,0.810448239050666,0.5751772124653,0.686180180797908,74,45,30,17,0.44578313253012,7
0.8,0.248935388100844,0.205629368976883,0.27535512370381,0.871273056454981,0.660823181518469,0.644980921099479,70,70,27,29,0.357142857142857,7
0.9,0.203880333898928,0.188232609520475,0.263177216988752,0.672322759003138,0.599669995251193,0.648452717238501,63,41,7,64,0.36,7
1,0.417342454725282,0.181324402785549,0.27417676700393,0.747968282481722,0.641546692222121,0.628748684463874,60,28,39,31,0.379746835443038,7
-1,1.05854424137378,0.202245646826586,0.344771380461175,1.60178255420577,0.590739484830926,0.659194609631981,27,397,62,0,0.0555555555555556,8
-0.9,0.718154382123649,0.201718062464194,0.264990152082139,1.01005636408091,0.574722266911134,0.574664517130239,46,180,59,0,0.16140350877193,8
-0.8,0.955693897523967,0.161468285487756,0.2659566775313,1.4939366435478,0.754558496687094,0.615851584870667,42,335,84,0,0.0911062906724512,8
-0.7,0.783931726700158,0.197668893378418,0.293888279295641,1.10518667419567,0.565118243432968,0.706138062577885,62,170,51,0,0.219081272084806,8
-0.6,0.725701417646881,0.189587024261282,0.280924875158486,0.917136551252955,0.594092541192665,0.684791209503117,66,146,46,0,0.255813953488372,8
