"taxon","estimate","std_error","pval_adj"
"91",-0.0336410195481511,0.00263186064971823,0.50000000023983
"92",0.0213104940187169,0.00390404966802272,0.468952577026524
"93",-0.0224421532336239,0.00199337796461091,0.500000013409495
"94",-0.00228288504776946,0.00301422963808534,0.484375035753878
"95",-0.0115451681218505,0.00257181263308692,0.490414673567984
"96",-0.0349928727210614,0.00317766052301883,0.500000016512336
"97",-0.0242386993187695,0.0023673680515027,0.500007227231756
"98",0.00179112918163606,0.00270110249837643,0.484375000001396
"99",-0.0077291932990999,0.00244321377278759,0.484486451762988
"100",-0.0194183322003844,0.00276036425490166,0.500000224770406
"101",0.0283017307733405,0.00384400214609555,0.46091876971285
"102",-0.0261733530015999,0.00384366306623751,0.502661879026727
"103",0.0128065057510646,0.00341241591180517,0.479647489275706
"104",-0.000433288652643277,0.00328077907415918,0.48437564530938
"105",-0.0207321159398455,0.00189279404670909,0.500000000008413
"106",-0.0184728306311798,0.00271590159820932,0.500000045431376
"107",-0.0405388874526915,0.00284604815723567,0.493356203787105
"108",0.00508831604061545,0.00392969196618771,0.484375226303003
"109",-0.0100107056794878,0.00389190926269136,0.493618320902589
"110",-0.00889008438641558,0.00250278381595159,0.484677564344272
"111",-0.00251734015782032,0.00352430620098483,0.484429641636467
"112",0.00671843381444453,0.0024728541048833,0.484375
"113",-0.0191326632829083,0.00383867652383121,0.5000024666189
"114",-0.0185633702009046,0.00335508013448251,0.500014301768358
"115",0.024489585922651,0.00343787060535717,0.460870593231759
"116",-0.00622348901571045,0.00350498550908613,0.484513302991847
"117",0.00160610825191803,0.00373355254799362,0.484382353243113
"118",-0.00928500708622157,0.00307441450532287,0.485755044576743
"119",0.000630183383775787,0.0028837427698552,0.484375023882771
"120",-0.0279802898769583,0.0022769088066552,0.500001592166359
"122",-0.00319911280801257,0.00363502962794224,0.484412689942265
"123",-0.0485769595119898,0.00293696104983863,0.462712437302751
"124",-0.00677288605857353,0.00289906032131445,0.484466161221434
"125",-0.00861063705016708,0.00303616762475806,0.485001264264781
"126",-0.00304091321918286,0.00306692445315716,0.484377545361089
"127",-0.0254974918768831,0.00359712364986781,0.500711759892633
"128",-0.00362062472555568,0.00316840874622774,0.484409763180957
"129",-0.00269415768170905,0.00334640616074123,0.484502776459467
"130",-0.00584863243880169,0.00386732077005323,0.484823654790907
"131",0.000688748996933808,0.00366926522842241,0.484377301210521
"132",0.0125914775235179,0.00384678929547755,0.475968497160846
"133",-0.00577924004810733,0.00318474783553088,0.486356806004045
"134",0.0302286361589118,0.00383755325252422,0.453215162609558
"135",0.00299125370012492,0.00320087053315071,0.484375001153196
"136",-0.0220334670422572,0.0034109809510952,0.500020815959806
"137",-0.0119789502283998,0.00292239841326212,0.487129462537832
"138",-0.000838935004988667,0.00375232510419305,0.484379598946728
"139",-0.0192927249533298,0.00382973094614646,0.500055593548773
"140",-0.0198738823318132,0.00321041051331749,0.500004575997479
"141",-0.0055068440064132,0.00393749807322134,0.486233316629128
"142",0.00691933533138092,0.00381304082578961,0.484375567973646
